2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 21:38:39.940  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:38:39.940  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:38:47.409  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:38:47.410  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:38:47.410  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:38:47.410  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:38:47.410  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:46:19.272  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 21:46:19.292  INFO HelloWorldImpl:60 - start init!!
2012-12-27 21:47:02.280  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:47:02.285  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:47:02.285  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:47:02.285  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:47:02.285  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:47:02.311  INFO HelloWorldImpl:135 - 内存文档数1
2012-12-27 21:47:02.362  INFO HelloWorldImpl:154 - queryString:屠
2012-12-27 22:16:25.789  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 22:16:25.789  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 22:16:25.789  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 22:16:25.789  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 22:16:25.789  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 22:16:25.793  INFO HelloWorldImpl:135 - 内存文档数2
2012-12-27 22:28:29.365  INFO HelloWorldImpl:125 - create index :field:id  value:510
